_id,point_id,opc_tag,describe,device_description_chinese,serial,instrument,device_name_chinese,belong_co,status,value_min,value_max,unit,last_monitor_time,thickener_id,mixer_id,value_max_2,value_min_2
{'$oid': '604c8a4b1349e5c153ca6961'},68,SOUTHEASTORE_PRJ_OS::PI-311TH02/MonAnalog.PV#Value,#2 Thickener Mud Pressure,#2浓密机泥层压力,PI-311TH02,Pressure Indicator,压力计,METSO,normal,-1,90,MPa,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4b1349e5c153ca6964'},69,SOUTHEASTORE_PRJ_OS::DIC-311TH01B_Back/BackFillingDiCtr.DI_SP#Value,#1 Thickener Discharge Concentration(write tag),#1浓密机出料浓度(DCS系统设定值),DIC-311TH01B,Density Controller,浓度控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4b1349e5c153ca6965'},70,SOUTHEASTORE_PRJ_OS::DIC-311TH02B_Back/BackFillingDiCtr.DI_SP#Value,#2 Thickener Discharge Concentration(write tag),#2浓密机出料浓度(DCS系统设定值),DIC-311TH02B,Density Controller,浓度控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4c1349e5c153ca696a'},73,SOUTHEASTORE_PRJ_OS::FIC-311TH01B/PID.SP_Int,#1 Thickener Discharge Flow(write tag),#1浓密机底流流量(DCS系统设定值),FIC-311TH01B,Flow Controller,流量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4c1349e5c153ca696b'},74,SOUTHEASTORE_PRJ_OS::FIC-311TH02B/PID.SP_Int,#2 Thickener Discharge Flow(write tag),#2浓密机底流流量(DCS系统设定值),FIC-311TH02B,Flow Controller,流量控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
{'$oid': '604c8a4c1349e5c153ca696c'},75,SOUTHEASTORE_PRJ_OS::HIS-210FDM01/CementRatioSP.In01#Value,#1 Mixer Cement Sand Ratio(write tag),#1搅拌机灰砂比(DCS系统设定值),HIS-210FDM01,Cement Ratio Controller,灰砂比控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},0,1,0,0
{'$oid': '604c8a4c1349e5c153ca696d'},76,SOUTHEASTORE_PRJ_OS::HIS-210FDM02/CementRatioSP.In01#Value,#2 Mixer Cement Sand Ratio(write tag),#2搅拌机灰砂比(DCS系统设定值),HIS-210FDM02,Cement Ratio Controller,灰砂比控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},0,2,0,0
{'$oid': '604c8a4d1349e5c153ca6971'},77,SOUTHEASTORE_PRJ_OS::Concentration/Concentration.PV_In#Value,Thickener flocculant Concentration,浓密机絮凝剂浓度,DI-311FL01D,Concentration Indicator,浓度计,METSO,normal,0,3,%,{'$date': '2019-11-25T12:24:40Z'},0,0,0,0
{'$oid': '604c8a4e1349e5c153ca6980'},78,NULL,#1 Thickener Discharge Concentration(write tag),#1浓密机出料浓度(OPC写入),DIC-311TH01B,Density Controller,浓度控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},1,0,0,0
{'$oid': '604c8a4e1349e5c153ca6981'},79,NULL,#2 Thickener Discharge Concentration(write tag),#2浓密机出料浓度(OPC写入),DIC-311TH02B,Density Controller,浓度控制,METSO,normal,0,0,-,{'$date': '2019-11-25T12:24:40Z'},2,0,0,0
